Date,City,Average Daily Temperature
2020-01-01,Valencia,6.5
2020-01-02,Valencia,7.9
2020-01-03,Valencia,6.5
2020-01-04,Valencia,7.6
2020-01-05,Valencia,8.0
2020-01-06,Valencia,7.7
2020-01-07,Valencia,7.2
2020-01-08,Valencia,6.6
2020-01-09,Valencia,7.9
2020-01-10,Valencia,9.1
2020-01-11,Valencia,8.2
2020-01-12,Valencia,5.9
2020-01-13,Valencia,6.3
2020-01-14,Valencia,6.4
2020-01-15,Valencia,8.2
2020-01-16,Valencia,9.3
2020-01-17,Valencia,12.2
2020-01-18,Valencia,11.2
2020-01-19,Valencia,8.7
2020-01-20,Valencia,7.0
2020-01-21,Valencia,9.9
2020-01-22,Valencia,9.9
2020-01-23,Valencia,8.9
2020-01-24,Valencia,10.7
2020-01-25,Valencia,11.5
2020-01-26,Valencia,11.8
2020-01-27,Valencia,11.3
2020-01-28,Valencia,15.2
2020-01-29,Valencia,16.1
2020-01-30,Valencia,15.9
2020-01-31,Valencia,16.1
